,(년-월-일:시),PM10등급,PM10,PM2.5등급,PM2.5,오존등급,오존,이산화질소등급,이산화질소,일산화탄소등급,일산화탄소,아황산가스등급,아황산가스
47,2021-05-13:16,보통,65.0,보통,35.0,나쁨,0.123,좋음,0.025,좋음,0.4,좋음,0.004
48,2021-05-13:15,보통,53.0,보통,27.0,나쁨,0.093,좋음,0.023,좋음,0.4,좋음,0.004
49,2021-05-13:14,보통,55.0,보통,33.0,보통,0.078,좋음,0.024,좋음,0.4,좋음,0.004
50,2021-05-13:13,좋음,20.0,좋음,12.0,보통,0.064,보통,0.035,좋음,0.5,좋음,0.003
51,2021-05-13:12,,,,,,,,,,,,
52,2021-05-13:11,보통,43.0,보통,20.0,보통,0.044,좋음,0.028,좋음,0.4,좋음,0.001
53,2021-05-13:10,보통,36.0,보통,16.0,좋음,0.03,보통,0.037,좋음,0.5,좋음,0.001
54,2021-05-13:09,보통,39.0,보통,20.0,좋음,0.027,좋음,0.03,좋음,0.5,좋음,0.001
55,2021-05-13:08,보통,37.0,보통,19.0,좋음,0.015,보통,0.039,좋음,0.5,좋음,0.001
56,2021-05-13:07,보통,46.0,보통,22.0,좋음,0.01,보통,0.04,좋음,0.5,좋음,0.001
57,2021-05-13:06,보통,34.0,보통,20.0,좋음,0.01,보통,0.04,좋음,0.4,좋음,0.001
58,2021-05-13:05,보통,38.0,보통,23.0,좋음,0.011,보통,0.036,좋음,0.5,좋음,0.001
59,2021-05-13:04,보통,41.0,보통,23.0,좋음,0.007,보통,0.042,좋음,0.5,좋음,0.001
60,2021-05-13:03,보통,38.0,보통,20.0,좋음,0.01,보통,0.042,좋음,0.5,좋음,0.001
61,2021-05-13:02,보통,33.0,보통,18.0,좋음,0.017,보통,0.041,좋음,0.5,좋음,0.001
62,2021-05-13:01,보통,36.0,보통,20.0,좋음,0.025,보통,0.035,좋음,0.4,좋음,0.001
63,2021-05-12:24,보통,38.0,보통,20.0,좋음,0.016,보통,0.05,좋음,0.5,좋음,0.001
64,2021-05-12:23,보통,40.0,보통,19.0,보통,0.035,보통,0.036,좋음,0.4,좋음,0.001
65,2021-05-12:22,보통,43.0,보통,21.0,보통,0.044,보통,0.033,좋음,0.5,좋음,0.001
66,2021-05-12:21,보통,44.0,보통,25.0,보통,0.045,보통,0.042,좋음,0.5,좋음,0.001
67,2021-05-12:20,보통,42.0,보통,23.0,보통,0.04,보통,0.051,좋음,0.5,좋음,0.001
68,2021-05-12:19,보통,33.0,보통,16.0,보통,0.06,보통,0.031,좋음,0.4,좋음,0.001
69,2021-05-12:18,보통,32.0,좋음,15.0,보통,0.069,좋음,0.023,좋음,0.4,좋음,0.001
70,2021-05-12:17,좋음,30.0,좋음,13.0,보통,0.068,좋음,0.022,좋음,0.4,좋음,0.001
71,2021-05-12:16,좋음,27.0,좋음,12.0,보통,0.065,좋음,0.021,좋음,0.3,좋음,0.001
72,2021-05-12:15,좋음,27.0,좋음,11.0,보통,0.059,좋음,0.022,좋음,0.4,좋음,0.001
73,2021-05-12:14,좋음,24.0,좋음,13.0,보통,0.055,좋음,0.021,좋음,0.4,좋음,0.001
74,2021-05-12:13,좋음,22.0,좋음,11.0,보통,0.051,좋음,0.019,좋음,0.4,좋음,0.001
75,2021-05-12:12,좋음,21.0,좋음,9.0,보통,0.044,좋음,0.02,좋음,0.4,좋음,0.001
76,2021-05-12:11,좋음,23.0,좋음,10.0,보통,0.039,좋음,0.021,좋음,0.4,좋음,0.001
77,2021-05-12:10,좋음,22.0,좋음,8.0,보통,0.034,좋음,0.025,좋음,0.5,좋음,0.001
78,2021-05-12:09,좋음,19.0,좋음,8.0,좋음,0.029,좋음,0.027,좋음,0.4,좋음,0.001
79,2021-05-12:08,좋음,17.0,좋음,9.0,보통,0.031,좋음,0.023,좋음,0.3,좋음,0.001
80,2021-05-12:07,좋음,16.0,좋음,9.0,좋음,0.03,좋음,0.023,좋음,0.3,좋음,0.001
81,2021-05-12:06,좋음,17.0,좋음,9.0,보통,0.034,좋음,0.017,좋음,0.3,좋음,0.001
82,2021-05-12:05,좋음,17.0,좋음,12.0,보통,0.037,좋음,0.011,좋음,0.3,좋음,0.001
83,2021-05-12:04,좋음,18.0,좋음,10.0,보통,0.035,좋음,0.014,좋음,0.3,좋음,0.001
84,2021-05-12:03,좋음,16.0,좋음,9.0,보통,0.032,좋음,0.018,좋음,0.3,좋음,0.001
85,2021-05-12:02,좋음,16.0,좋음,8.0,보통,0.035,좋음,0.018,좋음,0.4,좋음,0.001
86,2021-05-12:01,좋음,21.0,좋음,7.0,좋음,0.027,좋음,0.026,좋음,0.4,좋음,0.001
87,2021-05-11:24,좋음,19.0,좋음,8.0,좋음,0.024,보통,0.032,좋음,0.4,좋음,0.001
88,2021-05-11:23,좋음,21.0,좋음,8.0,보통,0.033,좋음,0.023,좋음,0.4,좋음,0.001
89,2021-05-11:22,좋음,24.0,좋음,10.0,보통,0.035,좋음,0.021,좋음,0.4,좋음,0.001
90,2021-05-11:21,좋음,29.0,좋음,14.0,좋음,0.03,좋음,0.028,좋음,0.4,좋음,0.001
91,2021-05-11:20,보통,31.0,보통,17.0,보통,0.033,좋음,0.028,좋음,0.4,좋음,0.001
92,2021-05-11:19,좋음,27.0,좋음,13.0,보통,0.041,좋음,0.023,좋음,0.4,좋음,0.001
93,2021-05-11:18,좋음,26.0,좋음,11.0,보통,0.047,좋음,0.022,좋음,0.4,좋음,0.001
94,2021-05-11:17,좋음,26.0,좋음,12.0,보통,0.054,좋음,0.02,좋음,0.4,좋음,0.001
95,2021-05-11:16,좋음,24.0,좋음,10.0,보통,0.052,좋음,0.021,좋음,0.4,좋음,0.001
96,2021-05-11:15,좋음,25.0,좋음,9.0,보통,0.048,좋음,0.022,좋음,0.4,좋음,0.001
97,2021-05-11:14,좋음,23.0,좋음,11.0,보통,0.049,좋음,0.018,좋음,0.4,좋음,0.001
98,2021-05-11:13,좋음,27.0,좋음,12.0,보통,0.044,좋음,0.018,좋음,0.4,좋음,0.001
99,2021-05-11:12,좋음,30.0,좋음,10.0,보통,0.035,좋음,0.023,좋음,0.4,좋음,0.001
100,2021-05-11:11,좋음,30.0,좋음,9.0,보통,0.031,좋음,0.023,좋음,0.4,좋음,0.001
101,2021-05-11:10,좋음,26.0,좋음,8.0,좋음,0.023,좋음,0.025,좋음,0.4,좋음,0.001
